,Country,Year,GDP,Happiness,Lat,Lon
90,Mozambique,2018,503.3179252,4.654,-18.665695,35.529562
91,Namibia,2018,5588.392864,4.834,-22.95764,18.49041
92,Nepal,2018,1178.525932,4.91,28.394857,84.124008
93,Netherlands,2018,53018.62936,7.463,52.132633,5.291266
94,New Zealand,2018,43306.07,7.37,-40.900557,174.885971
95,Nicaragua,2018,2014.575189,5.819,12.865416,-85.207229
96,Niger,2018,570.723922,5.164,17.607789,8.081666
97,Nigeria,2018,2027.778549,5.252,9.081999,8.675277
98,Norway,2018,82267.80932,7.444,60.472024,8.468946
99,Oman,2011,20876.58504,6.853,21.512583,55.923255
100,Pakistan,2018,1482.213067,5.472,30.375321,69.345116
101,Panama,2018,15544.99908,6.281,8.537981,-80.782127
102,Paraguay,2017,5678.869972,5.713,-23.442503,-58.443832
103,Peru,2018,6957.793411,5.68,-9.189967,-75.015152
104,Philippines,2018,3252.110274,5.869,12.879721,121.774017
105,Poland,2017,13864.68176,6.201,51.919438,19.145136
106,Portugal,2018,23551.04829,5.92,39.399872,-8.224454
107,Qatar,2015,63039.11263,6.375,25.354826,51.183884
108,Romania,2018,12398.98198,6.151,45.943161,24.96676
109,Rwanda,2018,783.6371628,3.561,-1.940278,29.873888
110,Saudi Arabia,2018,23337.01755,6.356,23.885942,45.079162
111,Senegal,2018,1458.069093,4.769,14.497401,-14.452362
112,Serbia,2018,7252.401858,5.936,44.016521,21.005859
113,Sierra Leone,2018,533.9915333,4.306,8.460555,-11.779889
114,Singapore,2018,66679.04649,6.375,1.352083,103.819836
115,Slovenia,2018,26104.10279,6.249,46.151241,14.995463
116,Somalia,2016,295.9673926,4.668,5.152149,46.199616
117,South Africa,2018,7005.095413,4.884,-30.559482,22.937506
118,Spain,2018,30349.7521,6.513,40.463667,-3.74922
119,Sri Lanka,2018,4059.20823,4.4,7.873054,80.771797
120,Sudan,2014,1625.463728,4.139,12.862807,30.217636
121,Suriname,2012,9200.974786,6.269,3.919305,-56.027783
122,Sweden,2018,54589.06039,7.375,60.128161,18.643501
123,Switzerland,2018,86388.40495,7.509,46.818188,8.227512
124,Tajikistan,2017,848.6723799,5.829,38.861034,71.276093
125,Tanzania,2018,1042.838759,3.445,-6.369028,34.888822
126,Thailand,2018,7296.879608,6.012,15.870032,100.992541
127,Togo,2018,901.5230169,4.023,8.619543,0.824782
128,Trinidad and Tobago,2017,16173.74005,6.192,10.691803,-61.222503
129,Tunisia,2018,3680.892597,4.741,33.886917,9.537499
130,Turkey,2018,9454.348443,5.186,38.963745,35.243322
131,Turkmenistan,2018,6967.375043,4.621,38.969719,59.556278
132,Uganda,2018,770.6007843,4.322,1.373333,32.290275
133,Ukraine,2018,3096.817402,4.662,48.379433,31.16558
134,United Arab Emirates,2018,43839.32449,6.604,23.424076,53.847818
135,United Kingdom,2018,43646.95197,7.233,55.378051,-3.435973
136,United States,2018,63064.41841,6.883,37.09024,-95.712891
137,Uruguay,2018,18703.86029,6.372,-32.522779,-55.765835
138,Uzbekistan,2018,1597.068337,6.205,41.377491,64.585262
139,Vietnam,2018,2566.447487,5.296,14.058324,108.277199
140,Zambia,2018,1516.368371,4.041,-13.133897,27.849332
141,Zimbabwe,2018,1254.642265,3.616,-19.015438,29.154857
