,Country,Year,PPP,Happiness,Lat,Lon
90,Nepal,2018,3864.322124,4.91,28.394857,84.124008
91,Netherlands,2018,57901.09701,7.463,52.132633,5.291266
92,New Zealand,2018,43930.88142,7.37,-40.900557,174.885971
93,Nicaragua,2018,5867.243891,5.819,12.865416,-85.207229
94,Niger,2018,1229.223782,5.164,17.607789,8.081666
95,Nigeria,2018,5278.848395,5.252,9.081999,8.675277
96,Norway,2018,69710.48451,7.444,60.472024,8.468946
97,Oman,2011,43425.16851,6.853,21.512583,55.923255
98,Pakistan,2018,4853.266557,5.472,30.375321,69.345116
99,Panama,2018,31784.31449,6.281,8.537981,-80.782127
100,Paraguay,2017,12590.54844,5.713,-23.442503,-58.443832
101,Peru,2018,13088.29584,5.68,-9.189967,-75.015152
102,Philippines,2018,8720.607379,5.869,12.879721,121.774017
103,Poland,2017,30064.50348,6.201,51.919438,19.145136
104,Portugal,2018,34931.7846,5.92,39.399872,-8.224454
105,Qatar,2015,92968.2321,6.375,25.354826,51.183884
106,Romania,2018,29248.80932,6.151,45.943161,24.96676
107,Rwanda,2018,2138.899699,3.561,-1.940278,29.873888
108,Saudi Arabia,2018,48735.4605,6.356,23.885942,45.079162
109,Senegal,2018,3388.946311,4.769,14.497401,-14.452362
110,Serbia,2018,17736.0068,5.936,44.016521,21.005859
111,Sierra Leone,2018,1694.326473,4.306,8.460555,-11.779889
112,Singapore,2018,100581.158,6.375,1.352083,103.819836
113,Slovenia,2018,38917.04712,6.249,46.151241,14.995463
114,Somalia,2016,862.1464344,4.668,5.152149,46.199616
115,South Africa,2018,14209.09383,4.884,-30.559482,22.937506
116,Spain,2018,40686.98547,6.513,40.463667,-3.74922
117,Sri Lanka,2018,13169.0947,4.4,7.873054,80.771797
118,Sudan,2014,4500.779225,4.139,12.862807,30.217636
119,Suriname,2012,15785.12357,6.269,3.919305,-56.027783
120,Sweden,2018,53553.31245,7.375,60.128161,18.643501
121,Switzerland,2018,71671.51508,7.509,46.818188,8.227512
122,Tajikistan,2017,3252.932655,5.829,38.861034,71.276093
123,Tanzania,2018,2652.391378,3.445,-6.369028,34.888822
124,Thailand,2018,18530.21179,6.012,15.870032,100.992541
125,Togo,2018,2110.82642,4.023,8.619543,0.824782
126,Trinidad and Tobago,2017,26342.61666,6.192,10.691803,-61.222503
127,Tunisia,2018,11658.72682,4.741,33.886917,9.537499
128,Turkey,2018,27946.36185,5.186,38.963745,35.243322
129,Turkmenistan,2018,15201.77857,4.621,38.969719,59.556278
130,Uganda,2018,2175.808063,4.322,1.373333,32.290275
131,Ukraine,2018,12634.23555,4.662,48.379433,31.16558
132,United Arab Emirates,2018,68576.11552,6.604,23.424076,53.847818
133,United Kingdom,2018,47863.2227,7.233,55.378051,-3.435973
134,United States,2018,63064.41841,6.883,37.09024,-95.712891
135,Uruguay,2018,23588.15139,6.372,-32.522779,-55.765835
136,Uzbekistan,2018,7252.985197,6.205,41.377491,64.585262
137,Vietnam,2018,7768.080218,5.296,14.058324,108.277199
138,Zambia,2018,3606.097632,4.041,-13.133897,27.849332
139,Zimbabwe,2018,4017.221716,3.616,-19.015438,29.154857
